countryname	countrycode	iso2code	region	regioncode	year	NomPCGDP
United States	USA	US	North America	NAC	1960	3007.1235
United States	USA	US	North America	NAC	1961	3066.563
United States	USA	US	North America	NAC	1962	3243.843
United States	USA	US	North America	NAC	1963	3374.5151
United States	USA	US	North America	NAC	1964	3573.9412
United States	USA	US	North America	NAC	1965	3827.5271
United States	USA	US	North America	NAC	1966	4146.3164
United States	USA	US	North America	NAC	1967	4336.4268
United States	USA	US	North America	NAC	1968	4695.9233
United States	USA	US	North America	NAC	1969	5032.1445
United States	USA	US	North America	NAC	1970	5246.8838
United States	USA	US	North America	NAC	1971	5623.4438
United States	USA	US	North America	NAC	1972	6109.9258
United States	USA	US	North America	NAC	1973	6741.3325
United States	USA	US	North America	NAC	1974	7242.4409
United States	USA	US	North America	NAC	1975	7820.0654
United States	USA	US	North America	NAC	1976	8611.4014
United States	USA	US	North America	NAC	1977	9471.3066
United States	USA	US	North America	NAC	1978	10587.286
United States	USA	US	North America	NAC	1979	11695.555
United States	USA	US	North America	NAC	1980	12597.668
United States	USA	US	North America	NAC	1981	13993.167
United States	USA	US	North America	NAC	1982	14438.977
United States	USA	US	North America	NAC	1983	15561.427
United States	USA	US	North America	NAC	1984	17134.285
United States	USA	US	North America	NAC	1985	18269.422
United States	USA	US	North America	NAC	1986	19115.053
United States	USA	US	North America	NAC	1987	20100.859
United States	USA	US	North America	NAC	1988	21483.232
United States	USA	US	North America	NAC	1989	22922.438
United States	USA	US	North America	NAC	1990	23954.479
United States	USA	US	North America	NAC	1991	24405.164
United States	USA	US	North America	NAC	1992	25492.951
United States	USA	US	North America	NAC	1993	26464.852
United States	USA	US	North America	NAC	1994	27776.635
United States	USA	US	North America	NAC	1995	28782.176
United States	USA	US	North America	NAC	1996	30068.23
United States	USA	US	North America	NAC	1997	31572.689
United States	USA	US	North America	NAC	1998	32949.199
United States	USA	US	North America	NAC	1999	34620.93
United States	USA	US	North America	NAC	2000	36449.855
United States	USA	US	North America	NAC	2001	37273.617
United States	USA	US	North America	NAC	2002	38166.039
United States	USA	US	North America	NAC	2003	39677.199
United States	USA	US	North America	NAC	2004	41921.809
United States	USA	US	North America	NAC	2005	44307.922
United States	USA	US	North America	NAC	2006	46437.066
United States	USA	US	North America	NAC	2007	48061.539
United States	USA	US	North America	NAC	2008	48401.426
United States	USA	US	North America	NAC	2009	47001.555
United States	USA	US	North America	NAC	2010	48373.879
United States	USA	US	North America	NAC	2011	49790.664
United States	USA	US	North America	NAC	2012	51450.121
United States	USA	US	North America	NAC	2013	52787.027
United States	USA	US	North America	NAC	2014	54598.551
United States	USA	US	North America	NAC	2015	56207.035
